season,n_matches,accuracy,log_loss,brier_score,market_log_loss,beats_market
2013,5084,0.6955153422501967,0.5640753212370749,0.19263791544340528,0.5617545702266242,False
2014,4950,0.6888888888888889,0.580692103290578,0.19838703367061422,0.5782019717478364,False
2015,5134,0.6912738605375925,0.5742754869980128,0.1963010139899119,0.574154716188543,False
2016,5130,0.6894736842105263,0.5812840004057683,0.19884384217002396,0.5821100744640929,True
2017,5127,0.6684220791886093,0.6061696473627136,0.20693561951594677,0.59941202648872,False
2018,5110,0.6741682974559687,0.5986848368470072,0.20661095216528017,0.5973644863641532,False
2019,5006,0.6667998401917699,0.5977566358267016,0.20658064653567948,0.598041256693308,True
2020,2307,0.6853055916775033,0.5885388989914132,0.2021620079443263,0.5877745365928543,False
2021,4881,0.6869493956156525,0.5830928089760168,0.20040522447231943,0.5832026613757284,True
2022,4952,0.678513731825525,0.5874868716382413,0.20178885651075854,0.5871009801297232,False
2023,5178,0.6770954036307455,0.5898111752580738,0.2036312912809124,0.5891997979380091,False
2024,5221,0.6738172763838345,0.5877484973755557,0.20240780099770775,0.5881818165397845,True
2025,4855,0.6743563336766221,0.6011108845760978,0.20762167379012353,0.6014112614759106,True
2026,172,0.7151162790697675,0.5809675266391537,0.1980151971980723,0.5811896831074457,True
