player,elo_overall,matches_played,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_carpet,matches_carpet
Ruse E-G.,1464.9,1,1500.0,0,1470.3,1,1500.0,0,1500.0,0
Lee Y-H.,1464.8,1,1459.2,1,1500.0,0,1500.0,0,1500.0,0
Iliev S.,1464.8,1,1500.0,0,1431.0,1,1500.0,0,1500.0,0
Urhobo A.,1464.7,4,1421.5,1,1448.4,3,1500.0,0,1500.0,0
Herazo M.,1464.5,1,1500.0,0,1446.7,1,1500.0,0,1500.0,0
Maestrelli F.,1464.4,6,1503.2,4,1423.8,2,1500.0,0,1500.0,0
Wuerth T.,1464.4,1,1500.0,0,1453.4,1,1500.0,0,1500.0,0
Topic J.,1464.3,1,1500.0,0,1469.0,1,1500.0,0,1500.0,0
Sorensen L.,1464.3,6,1425.6,4,1521.5,2,1500.0,0,1500.0,0
Rodesch C.,1464.2,1,1500.0,0,1500.0,0,1455.7,1,1500.0,0
Schwaerzler J.,1464.2,2,1492.3,1,1460.9,1,1500.0,0,1500.0,0
Thorpe L.,1464.0,1,1500.0,0,1451.9,1,1500.0,0,1500.0,0
Koryttseva M.,1463.9,21,1551.2,10,1370.1,10,1428.5,1,1500.0,0
Klugman H.,1463.9,6,1500.0,0,1500.0,0,1408.8,6,1500.0,0
Wang X.,1463.9,7,1438.9,7,1500.0,0,1500.0,0,1500.0,0
Slabinsky A.,1463.7,1,1500.0,0,1500.0,0,1441.4,1,1500.0,0
Ng K.Y.,1463.7,1,1459.9,1,1500.0,0,1500.0,0,1500.0,0
Baszak W.,1463.6,1,1500.0,0,1456.8,1,1500.0,0,1500.0,0
Gentzsch T.,1463.5,1,1500.0,0,1500.0,0,1436.5,1,1500.0,0
Bechri C.,1463.4,1,1457.5,1,1500.0,0,1500.0,0,1500.0,0
Buyukakcay C.,1463.4,70,1412.1,34,1468.8,34,1445.4,2,1500.0,0
Yang Y.,1463.4,1,1430.5,1,1500.0,0,1500.0,0,1500.0,0
Njiric S.,1463.4,1,1500.0,0,1462.3,1,1500.0,0,1500.0,0
Morderger Y.,1463.3,1,1500.0,0,1411.9,1,1500.0,0,1500.0,0
Pous-Tio L.,1463.3,43,1391.6,11,1549.2,30,1336.9,2,1500.0,0
Rajecki A.,1463.3,1,1500.0,0,1500.0,0,1417.7,1,1500.0,0
Lenz J.,1463.3,2,1481.6,1,1482.8,1,1500.0,0,1500.0,0
Parra Santonja A.,1463.2,68,1246.0,15,1503.6,46,1399.0,7,1500.0,0
Schoenhaus M.,1463.2,2,1500.0,0,1470.8,1,1443.4,1,1500.0,0
Raducànu E.,1463.1,1,1456.8,1,1500.0,0,1500.0,0,1500.0,0
Dahlin M.,1462.7,1,1500.0,0,1460.9,1,1500.0,0,1500.0,0
Gomez E.,1462.6,26,1432.7,19,1479.7,7,1500.0,0,1500.0,0
Elie J.,1462.6,1,1465.8,1,1500.0,0,1500.0,0,1500.0,0
Paoletti M.,1462.5,4,1500.0,0,1440.7,4,1500.0,0,1500.0,0
Novikov D.,1462.4,16,1391.3,8,1500.0,0,1473.7,8,1500.0,0
Ouyang B.,1462.4,1,1430.9,1,1500.0,0,1500.0,0,1500.0,0
Guillen Meza A.,1462.4,1,1500.0,0,1462.9,1,1500.0,0,1500.0,0
Gray A.,1462.4,4,1500.0,0,1500.0,0,1450.9,4,1500.0,0
