date,tournament,surface,ace_pct,surface_speed
2011-09-26,Kuala Lumpur,Hard,0.075,1.04
2011-10-03,Tokyo,Hard,0.08900000000000001,1.1
2011-10-03,Beijing,Hard,0.113,0.99
2011-10-09,Shanghai Masters,Hard,0.094,1.07
2011-10-17,Moscow,Hard,0.11,1.19
2011-10-17,Stockholm,Hard,0.09300000000000001,0.98
2011-10-24,St. Petersburg,Hard,0.068,0.75
2011-10-24,Vienna,Hard,0.141,1.24
2011-10-31,Valencia,Hard,0.081,1.13
2011-10-31,Basel,Hard,0.09,1.15
2011-11-07,Paris Masters,Hard,0.102,1.0
2011-11-20,Tour Finals,Hard,0.09300000000000001,1.0
2012-01-01,Brisbane,Hard,0.107,1.2
2012-01-02,Doha,Hard,0.076,0.96
2012-01-02,Chennai,Hard,0.11699999999999999,1.26
2012-01-09,Auckland,Hard,0.08,1.01
2012-01-09,Sydney,Hard,0.096,1.05
2012-01-16,Australian Open,Hard,0.081,0.89
2012-01-30,Zagreb,Hard,0.121,1.3
2012-01-30,Santiago,Clay,0.034,0.65
2012-01-30,Montpellier,Hard,0.155,1.56
2012-02-13,Sao Paulo,Clay,0.083,1.31
2012-02-13,San Jose,Hard,0.125,1.08
2012-02-13,Rotterdam,Hard,0.085,0.84
2012-02-20,Marseille,Hard,0.149,1.57
2012-02-20,Memphis,Hard,0.133,1.02
2012-02-20,Buenos Aires,Clay,0.046,0.74
2012-02-27,Acapulco,Clay,0.06,1.0
2012-02-27,Dubai,Hard,0.128,1.17
2012-02-27,Delray Beach,Hard,0.109,1.04
2012-03-08,Indian Wells Masters,Hard,0.085,0.89
2012-03-21,Miami Masters,Hard,0.08199999999999999,0.91
2012-04-09,Houston,Clay,0.077,0.71
2012-04-09,Casablanca,Clay,0.040999999999999995,0.73
2012-04-15,Monte Carlo Masters,Clay,0.057999999999999996,0.69
2012-04-23,Bucharest,Clay,0.055,0.59
2012-04-23,Barcelona,Clay,0.069,0.88
2012-04-30,Estoril,Clay,0.066,0.75
2012-04-30,Belgrade,Clay,0.07,0.81
2012-04-30,Munich,Clay,0.09,0.95
2012-05-06,Madrid Masters,Clay,0.106,1.19
2012-05-13,Rome Masters,Clay,0.052000000000000005,0.62
2012-05-20,Nice,Clay,0.07,0.77
2012-05-21,Dusseldorf,Clay,0.07,0.67
2012-05-27,Roland Garros,Clay,0.071,0.8
2012-06-11,Halle,Grass,0.106,1.18
2012-06-11,Queen's Club,Grass,0.113,1.11
2012-06-17,s Hertogenbosch,Grass,0.09300000000000001,1.15
2012-06-18,Eastbourne,Grass,0.071,0.96
2012-06-25,Wimbledon,Grass,0.115,1.27
2012-07-09,Umag,Clay,0.047,0.6
2012-07-09,Bastad,Clay,0.051,0.64
2012-07-09,Stuttgart,Clay,0.073,0.94
2012-07-09,Newport,Grass,0.126,1.33
2012-07-16,Atlanta,Hard,0.155,1.35
2012-07-16,Gstaad,Clay,0.09,0.83
2012-07-16,Hamburg,Clay,0.054000000000000006,0.71
2012-07-22,Kitzbuhel,Clay,0.057,0.65
2012-07-23,Los Angeles,Hard,0.069,0.96
2012-07-25,London Olympics,Grass,0.127,1.34
2012-07-30,Washington,Hard,0.135,1.5
2012-08-06,Canada Masters,Hard,0.10400000000000001,1.02
2012-08-12,Cincinnati Masters,Hard,0.111,1.18
2012-08-19,Winston-Salem,Hard,0.12300000000000001,1.2
2012-08-27,US Open,Hard,0.10800000000000001,1.07
2012-09-17,Metz,Hard,0.124,1.12
2012-09-17,St. Petersburg,Hard,0.042,0.78
2012-09-24,Bangkok,Hard,0.07400000000000001,0.81
2012-09-24,Kuala Lumpur,Hard,0.05,0.75
2012-10-01,Beijing,Hard,0.102,1.09
2012-10-01,Tokyo,Hard,0.107,1.21
2012-10-07,Shanghai Masters,Hard,0.109,1.13
2012-10-15,Moscow,Hard,0.106,0.85
2012-10-15,Vienna,Hard,0.132,1.0
2012-10-15,Stockholm,Hard,0.124,1.26
2012-10-21,Valencia,Hard,0.1,1.13
2012-10-22,Basel,Hard,0.11699999999999999,1.21
2012-10-29,Paris Masters,Hard,0.11599999999999999,1.17
2012-11-05,Tour Finals,Hard,0.09300000000000001,0.91
2012-12-30,Brisbane,Hard,0.11,1.41
2012-12-31,Chennai,Hard,0.087,1.16
