tournament,tournament_url,player1,player1_slug,odds1,odds2,match_id,sets_won1,player2,player2_slug,sets_won2,score,date
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Blockx A.,blockx,1.17,4.88,3307847,,Barrios Vera M.,barrios-vera,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Basavareddy N.,basavareddy,1.38,2.79,3307849,,Schoolkate T.,schoolkate,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Vukic A.,vukic,2.26,1.58,3307853,,Sakamoto R.,sakamoto-9c9d5,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Michelsen A.,michelsen-a98bb,1.25,3.83,3307855,,Cina F.,cina,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Landaluce M.,landaluce-84126,1.95,1.82,3307857,,Fearnley J.,fearnley,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Samuel T.,samuel-371b3,1.68,2.17,3307859,,Machac T.,machac,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Harris L.,harris-9f62b,1.19,4.48,3307861,,Kennedy J.,kennedy-81205,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Navone M.,navone,4.87,1.18,3307431,,Djokovic N.,djokovic,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/atp-men/,Bublik A.,bublik-43f80,1.38,3.05,3307445,,Wolf J.,wolf-e839f,,,2026-08-30
Kingston 2 challenger,https://www.tennisexplorer.com/kingston-2-challenger/2026/atp-men/,Mayo A.,mayo-58e8a,1.96,1.76,3307923,,Andrade A.,andrade-58258,,,2026-08-30
UTR Pro Tennis Series 3,https://www.tennisexplorer.com/utr-pro-tennis-series-3/2026/atp-men/,Karra T.,karra,,,3308007,,Vuglar L.,vuglar,,,2026-08-30
US Open,https://www.tennisexplorer.com/us-open/2026/wta-women/,Zidansek T.,zidansek,2.82,1.42,3307905,,Timofeeva M.,timofeeva-3f1c4,,,2026-08-31
